Variants,Fitness Score
AAAA,1.611610009
AAAC,0.049726034
AAAD,0.011856509
AAAE,0.011415842
AAAF,0.029688307
AAAG,0.105416667
AAAH,0
AAAI,0
AAAK,0.013507665
AAAL,0.095610466
AAAM,0.168666668
AAAN,0
AAAP,0.008565104
AAAQ,0
AAAR,0
AAAS,0.012748062
AAAT,0.009788691
AAAV,0.022840278
AAAW,0.011993272
AAAY,0
AACA,3.741833354
AACC,0.394614727
AACD,0.058598266
AACE,0
AACF,0.064206125
AACG,1.957319956
AACH,0.024916667
AACI,0.087428945
AACK,0.028000035
AACL,0.06325
AACM,0.174722052
AACN,0.019577381
AACP,0.018272222
AACQ,0
AACR,0.011916667
AACS,0.064490196
AACT,0.146177779
AACV,0
AACW,0.019325543
AACY,0.017232113
AADA,0
AADC,0.027138525
AADD,0.280211678
AADE,0.027538534
AADF,0.058945403
AADG,0.015623569
AADH,0
AADI,0.009474241
AADK,0.019980786
AADL,0
AADM,0.016704244
AADN,0.018418937
AADP,0
AADQ,0
AADR,0
AADS,0
AADT,0
AADV,0
AADW,0.022277401
AADY,0.024951837
AAEA,0
AAEC,0.029556334
AAED,0.23818523
AAEE,0.03318521
AAEF,0.112332172
AAEG,0.03290413
AAEH,0
AAEI,0
AAEK,0.042293868
AAEL,0
AAEM,0.018525933
AAEN,0.011617178
AAEP,0
AAEQ,0
AAER,0
AAES,0
AAET,0
AAEV,0.01856084
AAEW,0.005652505
AAEY,0
AAFA,1.081518024
AAFC,0.152268519
AAFD,0.124157516
AAFE,0
AAFF,0.033792659
AAFG,2.087250011
AAFH,0
AAFI,0.041187588
AAFK,0.022840278
AAFL,0.014176724
AAFM,0
AAFN,0.022840278
AAFP,0.059583334
AAFQ,0
AAFR,0
AAFS,0.048367647
AAFT,1.650458342
AAFV,0.274083335
AAFW,0.045195403
AAFY,0.011371928
AAGA,0.210456846
AAGC,1.242511118
AAGD,0.052383213
AAGE,0
AAGF,1.886338245
AAGG,0.043276316
AAGH,0.03289
AAGI,0.091361112
AAGK,0
AAGL,0.471423336
AAGM,1.955127788
AAGN,0.032245098
AAGP,0.004568056
AAGQ,0
AAGR,0
AAGS,0.063626488
AAGT,0.094875001
AAGV,0.274083335
AAGW,0.06978689
AAGY,0.054816667
AAHA,0
AAHC,0.033651214
AAHD,0.413474432
AAHE,0.058636772
AAHF,0.130555878
AAHG,0.012930865
AAHH,0.028857157
AAHI,0.009558949
AAHK,0.066109279
AAHL,0.026103175
AAHM,0.0297853
AAHN,0.039678591
AAHP,0.028331878
AAHQ,0.02494827
AAHR,0
AAHS,0.014459975
AAHT,0.068520834
AAHV,0.026664724
AAHW,0.008120456
AAHY,0.005008769
AAIA,0
AAIC,0.022725531
AAID,0.091873812
AAIE,0.021447125
AAIF,0.053269992
AAIG,0.035955527
AAIH,0.011101293
AAII,0.014805597
AAIK,0.019539539
AAIL,0
AAIM,0.016953177
AAIN,0.013763833
AAIP,0
AAIQ,0.027408333
AAIR,0
AAIS,0.028850877
AAIT,0.011420139
AAIV,0
AAIW,0.020659284
AAIY,0.013077799
AAKA,0.022091076
AAKC,0.034119161
AAKD,0.322708436
AAKE,0.041541338
AAKF,0.027440737
AAKG,0.031288635
AAKH,0.015078975
AAKI,0.008094131
AAKK,0.054643655
AAKL,0
AAKM,0.025542453
AAKN,0.028009381
AAKP,0
AAKQ,0.016269702
AAKR,0
AAKS,0.036544445
AAKT,0
AAKV,0.014981656
AAKW,0.004562503
AAKY,0.002814192
AALA,0.768331971
AALC,0.072127193
AALD,0.043664486
AALE,0.021083333
AALF,0
AALG,2.723150552
AALH,0
AALI,0
AALK,0.013704167
AALL,0.003114583
AALM,0
AALN,0.013051587
AALP,0.032245098
AALQ,0
AALR,0.019033565
AALS,0.027408333
AALT,1.479243881
AALV,0.054816667
AALW,0.021083333
AALY,0
AAMA,0.664125004
AAMC,0.057455295
AAMD,0.00910812
AAME,0.018539035
AAMF,0.014364153
AAMG,1.397825008
AAMH,0
AAMI,0.040686313
AAMK,0.019066361
AAML,0
AAMM,0.026717526
AAMN,0.036365827
AAMP,0.010541667
AAMQ,0.02111863
AAMR,0
AAMS,0.078309524
AAMT,0.171302084
AAMV,0
AAMW,0.00587795
AAMY,0.051444932
AANA,0
AANC,0.029813418
AAND,0.263481039
AANE,0.028355316
AANF,0.028749089
AANG,0.028290957
AANH,0
AANI,0.007295129
AANK,0.031360965
AANL,0
AANM,0.043139458
AANN,0.019972576
AANP,0
AANQ,0.01984049
AANR,0.012310455
AANS,0
AANT,0.017130208
AANV,0
AANW,0.017734366
AANY,0.017487413
AAPA,0
AAPC,0
AAPD,0.044744522
AAPE,0.039921511
AAPF,0.017497774
AAPG,0
AAPH,0
AAPI,0
AAPK,0.016882142
AAPL,0.006852083
AAPM,0.017947495
AAPN,0
AAPP,0
AAPQ,0
AAPR,0
AAPS,0.008565104
AAPT,0
AAPV,0
AAPW,0.001088346
AAPY,0
AAQA,0
AAQC,0.087963645
AAQD,0.614182343
AAQE,0.111461568
AAQF,0.051184814
AAQG,0.016120239
AAQH,0.029525079
AAQI,0.022082722
AAQK,0.066726145
AAQL,0.018272222
AAQM,0.06830957
AAQN,0.036419984
AAQP,0.014425439
AAQQ,0.033320242
AAQR,0
AAQS,0
AAQT,0
AAQV,0
AAQW,0.011335869
AAQY,0.006992064
AARA,0
AARC,0.019357072
AARD,0.067129418
AARE,0
AARF,0
AARG,0
AARH,0
AARI,0.017130208
AARK,0
AARL,0
AARM,0
AARN,0
AARP,0.004493169
AARQ,0.008565104
AARR,0.00464548
AARS,0.00464548
AART,0
AARV,0
AARW,0
